Juz,Surah,Aayah,pageNum,lineNum,text,Tag,Quarter
1,2,49,8,3,رَّبِّکُمۡ       عَظِیۡمٌ       ﴿۴۹﴾,0,<null>
1,2,50,8,3,       وَ       اِذۡ       فَرَقۡنَا       بِکُمُ       الۡبَحۡرَ       فَاَنۡجَیۡنٰکُمۡ       وَ       اَغۡرَقۡنَاۤ       اٰلَ,0,<null>
1,2,50,8,4,فِرۡعَوۡنَ          وَ          اَنۡتُمۡ          تَنۡظُرُوۡنَ         ﴿۵۰﴾,0,<null>
1,2,51,8,4,        وَ        اِذۡ        وٰعَدۡنَا        مُوۡسٰۤی        اَرۡبَعِیۡنَ        لَیۡلَۃً,0,<null>
1,2,51,8,5,ثُمَّ          اتَّخَذۡتُمُ          الۡعِجۡلَ          مِنۡۢ          بَعۡدِہٖ         وَ         اَنۡتُمۡ         ظٰلِمُوۡنَ         ﴿۵۱﴾,0,<null>
1,2,52,8,5,         ثُمَّ        عَفَوۡنَا,0,<null>
1,2,52,8,6,عَنۡکُمۡ          مِّنۡۢ          بَعۡدِ          ذٰلِکَ         لَعَلَّکُمۡ        تَشۡکُرُوۡنَ        ﴿۵۲﴾,0,<null>
1,2,53,8,6,        وَ        اِذۡ        اٰتَیۡنَا        مُوۡسَی,0,<null>
1,2,53,8,7,الۡکِتٰبَ         وَ         الۡفُرۡقَانَ         لَعَلَّکُمۡ        تَہۡتَدُوۡنَ       ﴿۵۳﴾,0,<null>
1,2,54,8,7,       وَ       اِذۡ       قَالَ       مُوۡسٰی       لِقَوۡمِہٖ,0,<null>
1,2,54,8,8,یٰقَوۡمِ                    اِنَّکُمۡ                    ظَلَمۡتُمۡ                    اَنۡفُسَکُمۡ                    بِاتِّخَاذِکُمُ                   الۡعِجۡلَ                  فَتُوۡبُوۡۤا,0,<null>
1,2,54,8,9,اِلٰی                  بَارِئِکُمۡ                  فَاقۡتُلُوۡۤا                  اَنۡفُسَکُمۡ ؕ                  ذٰلِکُمۡ                  خَیۡرٌ                  لَّکُمۡ                  عِنۡدَ,0,<null>
1,2,54,8,10,بَارِئِکُمۡ ؕ           فَتَابَ           عَلَیۡکُمۡ ؕ           اِنَّہٗ           ہُوَ           التَّوَّابُ           الرَّحِیۡمُ          ﴿۵۴﴾,0,<null>
1,2,55,8,10,          وَ          اِذۡ,0,<null>
1,2,55,8,11,قُلۡتُمۡ           یٰمُوۡسٰی           لَنۡ           نُّؤۡمِنَ           لَکَ           حَتّٰی          نَرَی          اللّٰہَ          جَہۡرَۃً          فَاَخَذَتۡکُمُ,0,<null>
1,2,55,8,12,الصّٰعِقَۃُ           وَ           اَنۡتُمۡ           تَنۡظُرُوۡنَ           ﴿۵۵﴾,0,<null>
1,2,56,8,12,          ثُمَّ          بَعَثۡنٰکُمۡ          مِّنۡۢ          بَعۡدِ          مَوۡتِکُمۡ,0,<null>
1,2,56,8,13,لَعَلَّکُمۡ              تَشۡکُرُوۡنَ              ﴿۵۶﴾,0,<null>
1,2,57,8,13,              وَ              ظَلَّلۡنَا             عَلَیۡکُمُ             الۡغَمَامَ             وَ             اَنۡزَلۡنَا,0,<null>
1,2,57,8,14,عَلَیۡکُمُ              الۡمَنَّ              وَ              السَّلۡوٰی ؕ              کُلُوۡا             مِنۡ             طَیِّبٰتِ             مَا             رَزَقۡنٰکُمۡ ؕ,0,<null>
1,2,57,8,15,وَ                  مَا                  ظَلَمُوۡنَا                 وَ                 لٰکِنۡ                 کَانُوۡۤا                 اَنۡفُسَہُمۡ                 یَظۡلِمُوۡنَ                 ﴿۵۷﴾,0,<null>
1,2,58,9,1,وَ             اِذۡ             قُلۡنَا             ادۡخُلُوۡا            ہٰذِہِ            الۡقَرۡیَۃَ            فَکُلُوۡا            مِنۡہَا            حَیۡثُ            شِئۡتُمۡ,0,<null>
1,2,58,9,2,رَغَدًا              وَّ              ادۡخُلُوا              الۡبَابَ              سُجَّدًا              وَّ              قُوۡلُوۡا              حِطَّۃٌ              نَّغۡفِرۡ              لَکُمۡ,0,<null>
1,2,58,9,3,خَطٰیٰکُمۡ ؕ          وَ          سَنَزِیۡدُ          الۡمُحۡسِنِیۡنَ          ﴿۵۸﴾,0,<null>
1,2,59,9,3,          فَبَدَّلَ          الَّذِیۡنَ          ظَلَمُوۡا        قَوۡلًا,0,<null>
1,2,59,9,4,غَیۡرَ               الَّذِیۡ               قِیۡلَ               لَہُمۡ               فَاَنۡزَلۡنَا               عَلَی               الَّذِیۡنَ               ظَلَمُوۡا              رِجۡزًا,0,<null>
1,2,59,9,5,مِّنَ        السَّمَآءِ        بِمَا        کَانُوۡا        یَفۡسُقُوۡنَ       ٪﴿۵۹﴾,0,<null>
